User ID,Gender,Score1,Score2,Category
15624510,Male,84,83,1
15810944,Male,76,77,1
15668575,Female,83,84,1
15603246,Female,77,76,1
15804002,Male,82,81,1
15728773,Male,78,79,1
15598044,Female,81,82,1
15694829,Female,79,78,1
15600575,Male,85,84,1
15727311,Female,75,74,1
15570769,Female,61,62,2
15606274,Female,59,58,2
15746139,Male,62,61,2
15704987,Male,58,59,2
15628972,Male,63,64,2
15624510,Male,57,56,2
15810944,Male,64,63,2
15668575,Female,56,57,2
15603246,Female,65,64,2
15804002,Male,55,54,2
15728773,Male,43,44,3
15598044,Female,37,36,3
15694829,Female,44,43,3
15600575,Male,36,37,3
15727311,Female,45,44,3
15570769,Female,35,34,3
15606274,Female,41,42,3
15746139,Male,39,38,3
15704987,Male,42,41,3
15628972,Male,38,39,3
